"Airport Name","latitude_deg","longitude_deg","iata_code","","City Name","lat","lng"
"Lebong Helipad","","","","","Karjat","18.55","75"
"Maithon Heliport","","","","","Drabar","33.43","75.09"
"Mathura Heliport","","","","","Amroha","28.9044","78.4675"
"Kunjali Helipad","","","","","Rani","9.3667","76.7667"
"Minicoy Helipad","","","","","Chakradharpur","22.7","85.63"
"Shikra Naval Helibase","","","","","Bhiwani","28.78","76.13"
"Butcher Island Helipad","","","","","Bhind","26.5587","78.7871"
"Mahalaxmi Race Course Helipad","","","","","Khammam","17.2473","80.1514"
"Raj Bhavan Helipad","","","","","Madhyamgram","22.7","88.45"
"HQ Eastern Air Command Helipad","","","","","Ghandinagar","23.2231","72.65"
"Namchi Helipad","","","","","Baharampur","24.1","88.25"
"Muhammad Ali Khan","","","","","Morbi","22.82","70.83"
"Osmanabad Airport","","","","","Pandhurna","21.6","78.52"
"Pedong Helipad","","","","","Fatehpur","25.93","80.8"
"Pelling Helipad","","","","","Rae Bareli","26.2236","81.2403"
"Phalodi Airfield","","","","","Daman","20.42","72.85"
"Poonch Airport","","","","","Orai","25.98","79.47"
"Charra Airfield","","","","","Mahbubnagar","16.7488","78.0035"
"Basanth Nagar Airport","","","","","Murtazabad","28.7111","77.2688"
"Basanth Nagar Airport","","","","","Rajendranagar","17.3198","78.4031"
"Surichua Air Base","","","","","Ratanpur","23.0851","72.5716"
"Rasgovindpur Airstrip","","","","","Bhusaval","21.05","75.77"
"Korba Airport","","","","","Bahraigh","27.575","81.594"
"Saiha Helipad","","","","","Umreth","22.6986","73.1156"
"Sevoke Road Indian Army Heliport","","","","","Ittikara","8.8633","76.6972"
"Serchhip Helipad","","","","","Mahesana","23.6","72.4"
"Shillong Indian Army Helipad","","","","","Raiganj","25.62","88.12"
"Shirdi Airport","","","","","Batala","31.8186","75.2028"
"Shirpur Airport","","","","","Sirsa","29.5333","75.0167"
"Umaria Air Field","","","","","Morsi","21.318","78.0095"
"Upper Tadong Indian Army Helipad","","","","","Dinapore","25.6225","85.0417"
"Vanasthali Airport","","","","","Tambaram","12.831","80.0459"
"Vijay Nagar Airport","","","","","Karaikkudi","10.0735","78.7732"
"","","","","","Shrirampur","22.75","88.34"
"","","","","","Himatnagar","23.6","72.95"
"","","","","","Guna","24.65","77.32"
"","","","","","Nawada","24.88","85.53"
"","","","","","Jaunpur","25.73","82.68"
"","","","","","Mahad","18.083","73.417"
"","","","","","Madanapalle","13.55","78.5"
"","","","","","Wadlakonda","17.7736","79.575"
"","","","","","Bhachau","23.296","70.343"
"","","","","","Shivpuri","25.43","77.65"
"","","","","","Satara","17.688","74.006"
"","","","","","Phillaur","31.03","75.78"
"","","","","","Unnao","26.55","80.49"
"","","","","","Sitapur","27.57","80.66"
"","","","","","Kalamboli","19.2333","73.1333"
"","","","","","Waraseoni","21.7647","80.0494"
"","","","","","Mauli","30.699","76.693"
"","","","","","Harnaut","25.3694","85.5319"
"","","","","","Navadwip","23.42","88.37"
"","","","","","Kotdwara","29.75","78.53"
"","","","","","Pilibhit","28.6267","79.8058"
"","","","","","Alleppey","9.49","76.33"
"","","","","","Cuddalore","11.75","79.75"
"","","","","","Gondal","21.958","70.795"
"","","","","","Deo","24.6561","84.4356"
"","","","","","Silchar","24.82","92.8"
"","","","","","Chirala","15.8246","80.3521"
"","","","","","Gadag","15.4167","75.6167"
"","","","","","Tiruvannamalai","12.13","79.07"
"","","","","","Bidar","17.912","77.52"
"","","","","","Jalalabad","30.62","74.25"
"","","","","","Nawsari","20.95","72.93"
"","","","","","Valsad","20.61","72.926"
"","","","","","Medinipur","22.424","87.319"
"","","","","","Damoh","23.8331","79.4419"
"","","","","","Haripur","31.53","75.92"
"","","","","","Neyveli","11.6088","79.4994"
"","","","","","Baramula","34.198","74.364"
"","","","","","Malkapur","20.885","76.2"
"","","","","","Jind","29.3167","76.3167"
"","","","","","Chandannagar","22.87","88.38"
"","","","","","Adoni","15.6279","77.2749"
"","","","","","Alasandigutta","15.6244","77.2731"
"","","","","","Udipi","13.3389","74.7451"
"","","","","","Fyzabad","26.773","82.146"
"","","","","","Sawai Madhopur","26","76.35"
"","","","","","Tenali","16.239","80.645"
"","","","","","Conjeeveram","12.8185","79.6947"
"","","","","","Madhubani","26.3519","86.0719"
"","","","","","Proddatur","14.75","78.55"
"","","","","","Sultanpur Mazra","28.6981","77.0689"
"","","","","","Wapi","20.372","72.917"
"","","","","","Godhra","22.7772","73.6203"
